"sample","Group"
"DHMR001","DMSO"
"DHMR002","DMSO"
"DHMR003","DMSO"
"DHMR004","DMSO"
"DHMR005","DMSO+LIPUS"
"DHMR006","DMSO+LIPUS"
"DHMR007","DMSO+LIPUS"
"DHMR008","DMSO+LIPUS"
"DHMR009","T4400"
"DHMR010","T4400"
"DHMR011","T4400"
"DHMR012","T4400"
"DHMR013","T4400+LIPUS"
"DHMR014","T4400+LIPUS"
"DHMR015","T4400+LIPUS"
"DHMR016","T4400+LIPUS"
"DHMR017","T3976"
"DHMR018","T3976"
"DHMR019","T3976"
"DHMR020","T3976"
"DHMR021","T3976+LIPUS"
"DHMR022","T3976+LIPUS"
"DHMR023","T3976+LIPUS"
"DHMR024","T3976+LIPUS"
