"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR005","DHMR006","DHMR007","DHMR008","DHMR009","DHMR010","DHMR011","DHMR012","DHMR013","DHMR014","DHMR015","DHMR016","DHMR017","DHMR018","DHMR019","DHMR020","DHMR021","DHMR022","DHMR023","DHMR024"
"0610005C13Rik",1,4,11,6,4,2,6,9,13,6,14,8,3,2,10,1,10,0,1,7,5,14,7,8
"0610007P14Rik",668,1487,1491,1352,1576,662,1351,1409,1490,1371,1364,1434,1415,1358,1471,729,1358,789,709,1388,696,1449,1489,1440
"0610009B22Rik",493,908,1023,1002,1077,513,961,1099,977,1025,1029,1048,952,1072,1159,662,915,448,535,981,508,998,1083,1014
"0610009L18Rik",12,29,37,34,41,18,37,44,33,57,46,33,36,66,48,28,30,9,22,41,8,29,46,29
"0610009O20Rik",820,1380,1526,1462,1467,753,1331,1411,1407,1327,1410,1406,1413,1329,1515,739,1387,813,743,1426,752,1498,1422,1537
"0610010F05Rik",425,1150,686,879,843,566,1418,871,1017,1058,885,1068,1026,1278,813,425,1043,527,350,706,631,938,803,1010
"0610010K14Rik",649,1065,1172,1183,1212,512,931,1083,1128,1066,1098,1144,1060,976,1185,555,1150,584,634,1237,583,1102,1146,1167
"0610011F06Rik",223,422,497,428,432,237,399,441,394,403,379,430,450,417,477,228,437,240,264,491,222,461,486,464
"0610012G03Rik",214,452,440,409,471,223,334,422,401,475,467,436,487,430,521,243,369,185,219,426,177,370,486,406
"0610030E20Rik",486,965,1113,1126,1074,537,1264,1275,967,1043,1059,1123,905,1211,1131,601,1142,526,673,1253,567,1153,1095,1091
"0610037L13Rik",611,1151,1350,1241,1271,610,1147,1381,1160,1066,1064,1225,1171,1171,1303,606,1157,642,750,1304,640,1260,1252,1279
"0610038B21Rik",6,6,10,11,10,4,3,11,13,10,11,11,6,8,18,5,10,5,8,17,2,2,11,14
"0610040B10Rik",15,17,31,24,19,14,15,29,13,41,28,18,24,30,36,9,29,12,17,27,13,28,20,29
"0610040J01Rik",0,3,1,0,1,0,2,0,0,14,7,0,1,8,1,0,1,1,0,0,0,1,1,1
"1110001J03Rik",89,136,169,171,164,77,104,173,144,133,129,125,155,124,156,80,144,72,84,162,64,143,153,140
"1110002L01Rik",48,76,69,89,74,56,68,79,67,85,83,76,62,69,60,59,77,46,62,72,57,89,77,58
"1110004E09Rik",346,615,869,720,820,386,671,783,741,674,797,850,681,721,865,422,721,347,403,752,387,780,892,772
"1110004F10Rik",1761,2944,3672,3431,3383,1834,2979,3467,3117,2732,2946,3231,3244,2953,3418,1764,3152,1630,1780,3318,1696,3350,3459,3271
"1110006O24Rik",3,8,11,9,16,4,12,11,9,6,10,12,7,13,15,10,11,5,10,16,2,11,14,9
"1110007C09Rik",696,1535,1462,1293,1896,679,1197,1350,1445,1684,1895,1679,1580,1517,1921,1032,1327,651,671,1336,636,1292,1810,1322
"1110008F13Rik",773,1219,1392,1262,1456,797,1143,1361,1206,1311,1534,1481,1342,1253,1631,1028,1203,824,875,1361,815,1237,1620,1325
"1110008L16Rik",387,730,692,730,728,336,713,703,742,754,735,767,707,775,731,363,700,396,346,691,378,720,720,750
"1110008P14Rik",406,830,913,751,864,445,761,803,779,868,940,930,898,845,1011,518,788,400,425,831,447,802,988,898
"1110012L19Rik",450,881,1156,918,1156,436,811,1031,897,941,1211,1042,937,947,1294,680,1036,499,680,1264,443,990,1223,1063
"1110019D14Rik",78,112,88,127,92,57,128,97,140,157,111,97,100,163,95,59,122,71,60,112,63,108,87,121
"1110020A21Rik",4,18,20,7,15,8,16,13,21,19,16,10,14,14,16,13,20,7,7,15,5,14,17,16
"1110032A03Rik",165,305,368,316,341,147,289,327,304,310,333,335,305,345,368,233,332,161,181,353,147,309,367,327
"1110034G24Rik",82,168,163,150,184,75,136,163,164,198,206,206,165,174,187,124,168,82,98,178,81,138,213,150
"1110037F02Rik",1802,3832,3273,3838,3478,1890,4270,3617,4013,3810,3424,3551,3479,3859,2916,1544,4000,2038,1815,3642,2088,3914,2992,3529
"1110038B12Rik",960,1973,2108,1841,2845,1026,1734,1923,1993,2119,2651,2564,2103,1956,2814,1682,1835,945,1017,1939,896,1882,2766,1886
"1110038F14Rik",605,1063,1143,1118,1184,591,943,1152,1049,1084,1053,1161,1153,1010,1212,577,1053,527,546,1079,575,1077,1196,1117
"1110046J04Rik",130,218,213,203,239,105,151,208,177,212,233,228,216,170,227,173,181,87,103,196,103,173,253,151
"1110051M20Rik",889,1663,1737,1653,1617,847,1456,1635,1678,1736,1568,1540,1726,1565,1606,764,1633,833,882,1686,862,1624,1577,1643
"1110059E24Rik",703,1177,1275,1390,1308,619,1253,1315,1290,1102,1093,1263,1118,1171,1257,551,1272,690,670,1265,681,1266,1194,1320
"1110059G10Rik",277,674,552,688,683,384,766,719,689,727,586,729,649,783,609,365,699,309,323,631,361,647,649,587
"1110065P20Rik",227,315,379,356,340,248,308,361,335,287,318,335,336,313,343,244,335,211,313,430,230,353,359,340
"1190002F15Rik",69,95,111,119,81,55,98,118,93,68,51,64,91,88,76,25,92,41,52,96,45,108,79,89
"1190002N15Rik",2748,7115,5122,6898,4981,3188,8564,6832,6400,7231,5442,5237,5888,7840,4361,2104,7670,3469,3361,6458,3175,6267,4458,5879
"1190005I06Rik",9,3,2,7,4,3,4,11,2,5,5,6,4,3,7,4,5,2,6,10,3,7,7,3
"1190007I07Rik",51,71,72,76,74,45,81,81,65,88,90,81,80,84,86,61,63,41,37,70,37,76,89,74
"1200014J11Rik",1045,1881,1931,2130,1940,1026,2111,2070,2139,2027,1873,1903,1823,2049,1762,908,2144,1055,1010,2047,1032,2040,1823,1912
"1300002E11Rik",111,222,248,242,290,144,258,250,272,358,334,283,242,329,289,185,259,128,154,278,119,260,288,269
"1500004A13Rik",32,86,78,94,92,53,117,108,77,87,90,86,80,111,78,65,114,59,53,105,57,79,86,92
"1500009L16Rik",12,27,27,20,18,8,30,18,24,14,12,14,17,20,15,5,21,19,17,30,14,28,10,31
"1500011B03Rik",118,245,340,265,394,125,228,306,247,309,388,378,275,310,426,257,260,117,171,315,107,307,437,253
"1500011K16Rik",229,451,601,484,545,270,449,555,453,458,515,567,496,484,559,315,519,236,299,562,239,570,594,499
"1500012F01Rik",924,1830,1946,1881,2443,990,1684,1900,1706,1901,2404,2429,1892,1893,2537,1661,1648,885,1010,1830,851,1852,2539,1785
"1500015A07Rik",12,24,79,59,77,21,54,98,34,42,62,90,32,63,109,59,65,19,47,95,30,52,104,67
"1500015O10Rik",34,36,49,47,25,26,42,39,34,10,5,29,36,27,21,2,42,17,25,42,24,46,33,35
"1500017E21Rik",37,111,86,60,69,55,91,87,103,142,103,101,112,117,79,44,67,44,27,48,68,94,101,77
"1600002H07Rik",204,332,355,372,367,194,328,341,321,319,351,373,344,312,371,205,360,204,209,376,166,371,370,379
"1600002K03Rik",107,249,190,208,278,81,204,239,217,231,264,228,219,223,296,197,196,105,97,186,94,191,251,218
"1600012H06Rik",884,1732,1765,1894,1893,1045,1922,2045,1811,2005,1887,1941,1794,2044,1964,1054,2045,983,1071,2005,977,1845,1913,1898
"1600014C10Rik",383,841,782,675,849,411,612,708,771,853,977,778,870,684,861,516,705,371,455,774,351,735,887,738
"1600020E01Rik",114,174,234,213,265,125,204,241,171,199,243,254,204,221,290,182,234,106,152,244,124,219,286,199
"1600027J07Rik",10,4,16,22,5,8,14,21,5,3,1,3,7,11,13,0,17,8,6,10,4,17,8,19
"1700001G11Rik",0,6,9,3,6,3,1,8,6,8,8,4,7,6,6,3,8,2,9,13,4,7,7,3
"1700001G17Rik",4,4,7,6,10,2,4,6,11,5,8,3,4,3,11,2,2,1,1,2,1,8,6,4
"1700001K19Rik",8,5,9,12,8,10,16,11,0,7,11,6,10,8,9,7,9,10,12,20,7,7,5,14
"1700001L05Rik",17,49,35,37,57,22,57,38,83,71,74,68,48,62,35,31,44,24,9,22,35,46,48,35
"1700001L19Rik",4,4,11,6,6,3,4,2,3,4,5,5,3,2,7,2,3,1,1,3,5,9,6,4
"1700001O22Rik",6,9,10,9,10,4,6,7,9,20,13,14,11,11,9,3,11,4,8,16,7,12,13,9
"1700003E16Rik",62,135,99,108,128,39,98,110,115,144,137,112,115,110,133,79,119,54,53,121,57,98,107,113
"1700003F12Rik",26,98,63,50,104,27,60,54,85,122,125,76,84,91,110,50,53,27,38,68,26,44,85,56
"1700007J10Rik",11,20,36,33,20,14,41,56,18,14,37,30,12,32,42,23,35,16,35,42,12,40,40,34
"1700007K13Rik",6,14,10,12,20,5,8,14,18,15,16,8,16,14,20,11,13,3,10,18,4,10,14,10
"1700007L15Rik",22,47,46,42,38,26,44,40,39,32,39,42,49,40,38,25,39,25,24,48,24,41,40,41
"1700008J07Rik",9,17,20,19,22,16,18,15,23,17,14,12,24,16,18,21,12,6,8,17,6,17,16,11
"1700009N14Rik",3,10,3,3,7,3,11,3,12,7,3,5,7,8,5,2,2,2,1,2,5,2,2,5
"1700011I03Rik",2,6,10,3,2,1,4,5,2,7,4,10,6,6,3,1,4,0,0,4,7,6,8,2
"1700012B09Rik",33,70,120,87,138,41,73,110,71,87,142,138,82,90,145,93,77,36,69,118,33,109,158,91
"1700012D01Rik",9,23,22,26,37,5,17,34,36,19,27,27,21,23,33,21,27,12,18,35,12,19,26,23
"1700012D14Rik",1,7,10,3,2,3,10,4,7,9,4,13,5,9,4,6,13,2,7,13,6,7,10,5
"1700013G24Rik",5,10,12,8,6,7,7,9,6,3,3,6,9,4,4,4,5,3,1,3,6,5,7,5
"1700017B05Rik",1642,3085,2830,2962,3405,1423,2635,2743,2940,3158,3544,3313,3037,2755,3356,2096,2988,1543,1566,3113,1443,2868,3257,2895
"1700018A04Rik",5,5,11,14,8,6,14,14,12,14,11,14,7,11,14,5,11,7,13,14,10,16,10,15
"1700019G17Rik",6,25,21,13,20,15,13,12,22,23,30,15,34,15,20,15,17,10,8,12,5,23,21,17
"1700019L03Rik",77,138,137,130,254,90,118,142,117,182,294,231,154,185,278,280,107,62,93,130,74,115,256,123
"1700020I14Rik",566,1175,931,1039,969,633,1450,975,1159,1037,904,949,1079,1268,865,363,1057,632,480,864,626,1082,838,1126
"1700020L24Rik",107,228,236,180,254,88,153,171,190,268,311,248,212,186,261,213,188,91,104,194,72,186,310,165
"1700021F05Rik",626,972,1175,1103,1123,650,995,1040,1058,1062,961,1037,1111,1100,1105,549,1065,544,547,1041,561,1093,1079,1089
"1700021K19Rik",1573,2978,3064,2999,2765,1435,2944,2918,2879,2911,2980,2890,2965,2937,3038,1424,2985,1474,1534,3088,1516,2942,3023,3102
"1700024P16Rik",27,58,31,54,63,57,68,44,61,52,47,50,67,49,49,25,51,43,21,37,39,62,27,62
"1700025G04Rik",403,656,505,749,548,331,653,617,637,592,524,590,595,552,482,277,648,347,358,646,338,646,482,602
"1700026D08Rik",12,53,37,29,113,10,18,35,56,61,123,105,47,36,121,103,51,20,30,61,17,33,112,36
"1700026L06Rik",3,2,9,7,7,2,3,8,2,14,9,10,3,6,10,3,7,3,5,7,2,5,13,7
"1700028E10Rik",3,3,1,4,7,1,4,4,3,3,3,5,3,5,7,3,7,2,4,10,5,1,7,6
"1700028I16Rik",6,5,5,10,6,4,4,7,2,5,9,5,4,5,6,1,5,2,1,5,2,7,7,4
"1700028J19Rik",13,22,21,19,22,9,18,13,23,21,24,19,17,17,21,8,17,15,7,19,10,22,15,23
"1700028K03Rik",2,8,6,10,7,5,11,10,12,24,16,8,8,18,5,5,6,4,6,8,4,9,8,6
"1700029I15Rik",7,13,13,11,12,9,13,13,9,9,12,18,18,14,20,10,11,8,5,10,13,12,13,23
"1700029J03Rik",14,22,17,17,9,12,22,18,10,5,9,19,17,8,8,3,16,11,3,12,19,18,15,19
"1700029J07Rik",15,53,23,32,28,20,52,27,37,48,41,37,43,50,35,14,47,20,17,42,16,27,35,35
"1700030J22Rik",61,109,85,106,105,51,108,90,104,119,113,112,109,119,90,46,123,54,40,99,52,81,112,87
"1700030K09Rik",277,517,482,467,481,266,484,417,505,532,536,459,509,501,491,268,502,255,247,472,264,477,462,502
"1700031A10Rik",4,8,11,9,6,5,7,10,8,10,10,8,10,5,7,4,6,5,5,5,3,7,12,11
"1700037C18Rik",36,76,77,74,69,36,77,82,63,66,60,58,71,65,72,35,60,30,31,72,31,64,77,56
"1700037H04Rik",617,1352,1254,1219,1444,601,1118,1203,1261,1393,1602,1359,1357,1224,1452,834,1263,597,685,1357,555,1226,1418,1201
"1700048M11Rik",9,9,16,14,17,5,13,15,10,15,12,14,8,13,17,11,12,8,5,8,9,20,8,17
"1700049G17Rik",114,271,233,278,243,145,347,274,274,303,257,300,267,349,245,118,299,150,142,265,171,285,237,278
"1700052K11Rik",155,248,276,288,261,150,241,292,245,286,262,257,236,241,253,156,272,154,154,239,157,262,262,261
"1700056E22Rik",13,30,19,17,29,14,28,15,35,33,31,15,26,30,21,11,25,9,15,23,4,14,23,14
"1700061G19Rik",4,18,12,12,17,3,19,15,11,18,10,8,12,17,8,9,10,5,8,16,6,18,9,7
"1700065J18Rik",10,12,14,16,11,9,22,19,12,9,9,18,14,17,13,2,16,11,6,8,19,22,7,14
"1700066M21Rik",364,762,559,749,628,417,930,701,771,758,574,654,715,844,526,232,738,385,301,586,434,656,539,666
"1700067K01Rik",3,10,23,11,21,7,20,24,12,9,19,16,13,18,19,21,18,3,8,15,7,11,23,9
"1700086O06Rik",7,8,18,20,19,10,20,34,16,13,14,21,14,31,23,11,20,10,13,27,13,12,20,20
"1700088E04Rik",26,35,33,29,42,26,24,27,45,40,34,41,42,30,30,37,22,22,18,27,27,31,30,31
"1700093K21Rik",36,84,46,61,49,33,80,58,69,88,79,51,65,83,49,15,62,29,23,47,29,52,46,46
"1700094D03Rik",50,94,103,111,135,54,123,124,105,149,147,145,93,141,143,86,121,66,63,117,58,125,148,110
