"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"__","Group",0.124732275265831,0.71127863161522,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.22596911748867,0.293922637587332
"s__","Group",0.65623958664909,0.997684796623011,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.02067669172932,0.0295259523031719
"s__ramosum","Group",0.696777722083449,0.997684796623011,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.23846153846154,0.308549065086163
"s__prausnitzii","Group",0.908266321423771,0.997684796623011,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.937588955308853,-0.0929725198104319
"s__gnavus","Group",0.141138459563941,0.71127863161522,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",2.40057113187954,1.26337768546097
"s__distasonis","Group",0.833111666817669,0.997684796623011,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.803610744165566,-0.315431242052146
"s__formicilis","Group",0.572874383481091,0.996303275619289,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.714967609955677,-0.484050209660363
"s__mucilaginosa","Group",0.997458072463019,0.997684796623011,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.782923299565847,-0.353057116561443
"s__copri","Group",0.332316965492287,0.949477044263676,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.47961205548024,0.565218960312786
"s__muciniphila","Group",0.046854603201436,0.624728042685813,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.172920544724209,-2.53181880884002
"s__ovatus","Group",0.148440738467366,0.71127863161522,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",2.18192219679634,1.12559965881216
"s__fragilis","Group",0.18447688420706,0.71127863161522,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",2.20025839793282,1.13767296353413
"s__longicatena","Group",0.104797989030522,0.71127863161522,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",3.40408163265306,1.76726563444209
"s__longum","Group",0.961736673087052,0.997684796623011,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.639873916469661,-0.64414043665593
"s__adolescentis","Group",0.997684796623011,0.997684796623011,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.696990720666031,-0.520788645878621
"s__D168","Group",0.526696443825436,0.996303275619289,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",7.20477815699659,2.84895400892491
"s__parainfluenzae","Group",0.8706452223559,0.997684796623011,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.16152019002375,0.216014231885837
"s__viridiflava","Group",0.42144074834679,0.996303275619289,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.15638766519824,0.20962512526257
"s__dispar","Group",0.167155652568008,0.71127863161522,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.86015831134565,0.895425409115064
"s__aerofaciens","Group",0.195601623694186,0.71127863161522,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.579884393063584,-0.78616278460941
"s__plebeius","Group",0.572335774410117,0.996303275619289,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.35611318739989,0.439477597416483
"s__producta","Group",0.906233555000704,0.997684796623011,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",2.0863309352518,1.06096801729143
"s__callidus","Group",0.310121308032597,0.949477044263676,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",2.52362204724409,1.33549585984658
"s__yabuuchiae","Group",0.724147178130722,0.997684796623011,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.07524752475248,0.104668810165205
"s__bromii","Group",0.0749854295458429,0.71127863161522,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.637276435519297,-0.6500087794817
"s__biforme","Group",0.98449909300543,0.997684796623011,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.791530944625407,-0.337282341764398
"s__reuteri","Group",0.00726864054591615,0.290745621836646,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.0690161527165932,-3.85692213633443
"s__uniformis","Group",0.0364508020018413,0.624728042685813,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",2.07668711656442,1.05428386934392
"s__stercorea","Group",0.428288746104142,0.996303275619289,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",2.02013422818792,1.01445115629754
"s__caccae","Group",0.679903099716171,0.997684796623011,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.59391771019678,0.672577148678732
"s__formicigenerans","Group",0.544657588130361,0.996303275619289,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.863564041368337,-0.211624923805363
"s__obeum","Group",0.790203241539016,0.997684796623011,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.938931297709924,-0.0909084961982104
"s__torques","Group",0.832895420598318,0.997684796623011,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.956834532374101,-0.0636586372223178
"s__eutactus","Group",0.303873061077023,0.949477044263676,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",2.19290465631929,1.13284308750373
"s__parvula","Group",0.480442823512736,0.996303275619289,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.39168110918544,0.476828668871832
"s__palleronii","Group",0.476408057240168,0.996303275619289,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.25124131082423,0.323360050380494
"s__putredinis","Group",0.770598830727188,0.997684796623011,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.50224618149146,0.587121254738923
"s__citroniae","Group",0.659550122579434,0.997684796623011,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.32775119617225,0.408984829156586
"s__breve","Group",0.780633756287316,0.997684796623011,"IBS_after","Wilcoxon rank sum exact test","IBS_before vs IBS_after",0.826196473551637,-0.275443192524874
"s__colinum","Group",0.462520867111935,0.996303275619289,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs IBS_after",1.90728476821192,0.931520262117233
