"feature","K_XYL_F_0001_01","K_XYL_F_0001_02","K_XYL_F_0002_01","K_XYL_F_0002_02","K_XYL_F_0003_01","K_XYL_F_0003_02","K_XYL_F_0004_01","K_XYL_F_0004_02","K_XYL_F_0005_01","K_XYL_F_0005_02","K_XYL_F_0007_01","K_XYL_F_0007_02","K_XYL_F_0008_01","K_XYL_F_0008_02","K_XYL_F_0009_01","K_XYL_F_0009_02","K_XYL_F_0011_01","K_XYL_F_0011_02","K_XYL_F_0012_01","K_XYL_F_0012_02","K_XYL_F_0013_01","K_XYL_F_0013_02","K_XYL_F_0017_01","K_XYL_F_0017_02","K_XYL_F_0018_01","K_XYL_F_0018_02","K_XYL_F_0022_01","K_XYL_F_0022_02","K_XYL_F_0028_01","K_XYL_F_0028_02","K_XYL_F_0030_02","K_XYL_F_0030_03","K_XYL_F_0033_01","K_XYL_F_0033_02","K_XYL_F_0035_01","K_XYL_F_0035_02","K_XYL_F_0036_01","K_XYL_F_0036_02","K_XYL_F_0037_01","K_XYL_F_0037_02","K_XYL_F_0038_01","K_XYL_F_0038_02","K_XYL_F_0039_01","K_XYL_F_0039_02","K_XYL_F_0042_01","K_XYL_F_0042_02","K_XYL_F_0043_01","K_XYL_F_0043_02","K_XYL_F_0044_01","K_XYL_F_0044_02","K_XYL_F_0045_01","K_XYL_F_0045_02","K_XYL_F_0046_01","K_XYL_F_0046_02","K_XYL_F_0047_01","K_XYL_F_0047_02","K_XYL_F_0048_01","K_XYL_F_0048_02"
"k__Bacteria;__;__;__;__;__;__",0,3,4,0,2,15,0,0,0,8,0,0,2,5,0,3,0,0,0,11,0,5,8,0,6,0,0,4,0,0,0,12,0,5,0,0,2,0,0,0,0,0,0,8,0,7,0,14,0,7,14,3,23,0,0,3,9,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas;s__",34,0,15,0,0,48,154,357,0,467,0,0,0,0,0,24,503,694,19,39,0,19,42,68,84,50,37,98,785,931,0,0,17,0,0,0,0,0,38,50,0,33,0,0,0,0,0,0,269,591,0,0,0,0,35,0,29,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__",0,0,0,12,0,18,0,0,0,17,108,3,17,90,0,33,0,0,12,5,0,16,0,32,8,25,16,52,0,0,49,11,0,32,55,37,48,0,3,217,0,35,26,0,38,10,22,8,0,0,137,86,137,50,0,36,28,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__",0,0,18,12,104,320,69,0,376,43,502,1017,447,154,0,325,556,98,560,234,262,182,0,82,143,5,95,365,0,75,106,2,215,231,740,678,423,996,422,159,86,327,178,0,142,163,450,48,255,372,431,79,411,22,570,805,231,588
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__",675,0,491,0,33,155,747,23,577,104,591,112,366,161,55,279,409,365,400,96,281,507,665,559,29,879,0,0,388,1959,382,155,455,19,624,357,520,254,0,17,394,503,0,0,246,57,205,23,495,187,127,144,163,143,329,304,295,279
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__dolichum",127,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,139,60,0,0,0,14,0,19,0,3,0,0,0,0,0,0,0,0,0,49,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,76,29,21,0,27,6,0,4,0,0,8,0,0,0,31,0,16,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,3,0,14
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__ramosum",0,0,60,0,5,0,0,55,0,263,0,0,0,0,0,0,0,0,0,0,0,36,133,54,0,0,338,39,134,139,83,0,0,0,0,0,112,0,7,43,0,63,0,0,0,0,121,89,0,0,0,0,0,2,0,120,0,142
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii",0,0,207,49,0,214,112,0,112,67,369,1948,489,298,621,584,457,261,464,615,0,171,239,0,93,0,55,1276,0,0,2043,0,279,263,1512,783,491,1369,346,528,66,338,127,90,1075,161,251,165,514,1109,1797,307,2179,377,277,1335,127,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__",68,0,15,0,1,47,0,8,0,103,241,729,63,159,260,221,201,0,142,17,102,197,40,246,157,28,124,260,77,67,198,9,0,139,110,165,27,0,0,266,297,116,261,31,87,154,142,79,34,139,125,0,125,0,0,50,63,33
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;__",17,14,0,11,0,0,0,115,185,0,0,222,11,0,0,0,22,0,0,0,0,0,0,0,5,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,14,0,16,26,15,0,15,0,0,0,0
