"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;__;__;__;__;__;__","Group",0.227964368271808,0.804580123312264,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.811881188118812,-0.300659478133711
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas;s__","Group",0.626271357199145,0.958903431814005,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.594119342750072,-0.751175335747126
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__","Group",0.166326650406403,0.800131698431833,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.771726535341831,-0.373838382107693
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__","Group",0.538923543732436,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.0269837029121,0.0384132878737888
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__","Group",0.0497983192984157,0.548791006878529,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.23474834773767,0.304217038194177
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__dolichum","Group",0.777920872182195,0.972401090227743,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.78034682080925,0.832158313058177
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__","Group",0.87947538875908,0.990641952146713,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.613756613756614,-0.704261429093501
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__ramosum","Group",0.249672953687232,0.825953336617313,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.806737588652482,-0.309828617312735
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii","Group",0.765567388004175,0.972401090227743,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.854226186328479,-0.227309970371165
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__","Group",0.807259826401596,0.985235419321723,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.802723059096176,-0.317025753697538
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;__","Group",0.177301684267867,0.804580123312264,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.483636363636364,-1.04800537291083
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus","Group",0.648572898433948,0.958903431814005,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.36385688295937,0.44769226234035
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__","Group",0.622290909130797,0.958903431814005,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.48314606741573,0.568660688392056
