cycle	median_Q_R1	median_Q_R2
1	36.0	36.0
2	36.0	36.0
3	36.0	36.0
4	36.0	36.0
5	36.0	36.0
6	36.0	36.0
7	36.0	36.0
8	36.0	36.0
9	36.0	36.0
10	36.0	36.0
11	36.0	36.0
12	36.0	36.0
13	35.0	35.0
14	35.0	35.0
15	35.0	35.0
16	35.0	35.0
17	35.0	35.0
18	35.0	35.0
19	35.0	35.0
20	35.0	35.0
21	35.0	35.0
22	35.0	35.0
23	35.0	35.0
24	35.0	35.0
25	34.0	34.0
26	34.0	34.0
27	34.0	34.0
28	34.0	34.0
29	34.0	34.0
30	34.0	34.0
31	34.0	34.0
32	34.0	34.0
33	34.0	34.0
34	34.0	34.0
35	34.0	34.0
36	34.0	34.0
37	33.0	33.0
38	33.0	33.0
39	33.0	33.0
40	33.0	33.0
41	33.0	33.0
42	33.0	33.0
43	33.0	33.0
44	33.0	33.0
45	33.0	33.0
46	33.0	33.0
47	33.0	33.0
48	33.0	33.0
49	32.0	32.0
50	32.0	32.0
51	32.0	32.0
52	32.0	32.0
53	32.0	32.0
54	32.0	32.0
55	32.0	32.0
56	32.0	32.0
57	32.0	31.0
58	32.0	32.0
59	31.0	32.0
60	32.0	32.0
61	31.0	31.0
62	31.0	31.0
63	31.0	31.0
64	31.0	31.0
65	31.0	31.0
66	31.0	31.0
67	31.0	31.0
68	30.0	31.0
69	31.0	31.0
70	31.0	31.0
71	31.0	31.0
72	31.0	31.0
73	30.0	30.0
74	30.0	30.0
75	30.0	30.0
76	30.0	30.0
77	30.0	30.0
78	30.0	30.0
79	29.5	30.0
80	29.0	30.0
