ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err,_row
mmu03030,DNA replication,35,-0.788,-2.3715,4.4736e-9,3.8585e-7,3.5182e-7,2151,"tags=77%, list=16%, signal=65%",67153/18969/68209/18538/19718/18974/59001/18972/106344/18971/19076/18968/68275/17217/17220/19075/19891/69263/14156/327762/17216/17215/16881/72151/17219/18973/17218,0.7615,mmu03030
mmu04110,Cell cycle,145,-0.6023,-2.3421,1e-10,1.725e-8,1.5729e-8,2088,"tags=41%, list=16%, signal=35%",433759/22630/12237/66440/56371/21781/17120/67177/18538/12566/17873/27214/75430/12580/12445/320209/19650/23882/12545/56452/12531/12235/17217/12581/67141/17220/27401/12649/12443/18392/21809/17216/12534/17215/12544/77011/21808/69716/12447/17219/56150/67052/22137/12532/18817/12448/71988/23834/30939/268697/105988/268930/20877/12428/12236/107995/67849/12442/17218/12577,,mmu04110
mmu05133,Pertussis,57,0.7279,2.2617,7.6197e-8,0.0000037554,0.0000034243,664,"tags=25%, list=5%, signal=23%",18126/16193/16175/16160/20311/16414/12475/21898/317677/667277/12258/50908/17087/50909,0.705,mmu05133
mmu04610,Complement and coagulation cascades,49,0.7587,2.2607,3.5305e-8,0.00000203,0.000001851,1268,"tags=51%, list=10%, signal=46%",16644/18788/385643/21824/20703/16414/74145/14068/317677/13136/22371/667277/12062/12628/12258/19124/50908/14962/50909/17221/17174/17175/12268/14066/12266,0.7195,mmu04610
mmu04814,Motor proteins,150,-0.5625,-2.1988,1.9327e-10,2.2226e-8,2.0266e-8,1755,"tags=41%, list=13%, signal=36%",17879/21957/17901/21648/71924/56455/326618/17883/21924/17904/11459/22154/22151/103733/110084/16582/22142/21953/21952/22004/11461/21925/21956/11465/21955/286942/67951/74376/22003/227613/103768/544791/17921/16571/17896/22146/209737/109242/11464/228421/216459/16551/17888/381293/22143/668303/71819/11475/110033/19348/16580/70218/73804/140781/17885/100502766/100310872/11468/98932/17884/17906,0.8267,mmu04814
mmu04657,IL-17 signaling pathway,71,0.678,2.1718,4.2421e-7,0,0,643,"tags=25%, list=5%, signal=24%",17386/16819/20201/16193/17392/14825/12981/20311/15978/15945/19225/20306/20292/20296/332110/12608/14283/22027,0.675,mmu04657
mmu05142,Chagas disease,85,0.6565,2.1423,1.3271e-7,0.0000050872,0.0000046386,746,"tags=16%, list=6%, signal=16%",20302/16644/18126/385643/16193/16160/15978/20304/20296/21898/21812/12062/18795/14675,0.6901,mmu05142
mmu05204,Chemical carcinogenesis - DNA adducts,33,0.761,2.1355,0,0.0002,0.0002,905,"tags=39%, list=7%, signal=37%",14857/14858/14859/19225/56615/14860/394432/13113/211666/15483/394435/13849/14862,0.5933,mmu05204
mmu04061,Viral protein interaction with cytokine and cytokine receptor,48,0.7119,2.1139,0.0000032784,0.0001,0.0001,369,"tags=33%, list=3%, signal=33%",20302/20303/16193/20307/12768/14825/20311/15945/20304/20306/57349/20292/20296/16992/329244/20315,0.6273,mmu04061
mmu04820,Cytoskeleton in muscle cells,207,-0.5288,-2.1013,1e-10,1.725e-8,1.5729e-8,1869,"tags=41%, list=14%, signal=35%",433766/17907/57778/109700/16480/71355/17879/21957/17901/24053/213019/21916/74103/76441/326618/67399/59006/17883/16400/242702/53867/30794/21924/12843/68802/11459/12111/17929/14200/12831/94216/21953/21952/53311/22004/11461/16905/21925/21393/14201/319480/21956/13808/78321/11465/21955/70549/13007/233199/11932/16907/16772/13009/22003/11931/12841/67451/544791/21827/12835/17896/93689/11464/12833/12842/16906/17888/241226/12715/58916/12834/109620/109272/13008/140781/17885/11468/98932/17884/12845/17906/11472/104099/21828,,mmu04820
