"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Tubb3",892.81157174232,-0.575918568180569,0.110433651824281,7.57552377523053e-09,9.32546976730879e-05
"Vdac1",12674.2216403511,-0.190332514089804,0.0418983328851593,2.81095641526241e-07,0.00173014367359401
"Col24a1",175.32881608835,0.611837543942811,0.139875529219491,5.30895841665578e-07,0.00217844260363442
"Crip1",5122.30553108408,-0.288495463650441,0.0676981418936359,8.50123145393367e-07,0.00261625397994809
"Pdk4",1401.12010696527,0.306508215213865,0.0760953537071042,2.31182569114244e-06,0.00569171485159268
"Aff3",168.302442513207,0.577882560231932,0.160270168062121,1.12677962830384e-05,0.0198152246063146
"Lgals1",66303.8010379988,-0.223886692084389,0.0610183680567424,1.04376130976033e-05,0.0198152246063146
"Clic1",10912.5055999735,-0.175978568315271,0.0493875000601371,1.60743623727286e-05,0.0223640215432082
"Gapdh",46017.708114338,-0.206164808557636,0.0583664323641768,1.63506250112814e-05,0.0223640215432082
"Krt19",92.3708856858921,-1.05649135765174,0.324934135649433,4.31518674659098e-05,0.0399909100403874
"Nefl",513.634906452751,-0.764053652455243,0.236633269983955,4.22988790945812e-05,0.0399909100403874
"Nid2",22189.4839204058,0.240257908489034,0.0738407290418949,4.4038067775181e-05,0.0399909100403874
"Ogn",9369.69666720032,0.549577539178316,0.167700778135123,3.7721353606769e-05,0.0399909100403874
"Stbd1",1814.56610055546,-0.236951284925695,0.0731080431624758,4.54811324586047e-05,0.0399909100403874
"Pdlim1",2215.32516131265,-0.26044601520556,0.0829768437436261,6.12668541145639e-05,0.0502796649433521
"Hilpda",416.087675312656,-0.30026628049773,0.0982605803209388,7.92194073024618e-05,0.0609494314933315
"Hpgd",384.009235351555,0.569122081231991,0.195577454886373,0.00012080038545298,0.087473690878011
"Egln3",4758.32794481127,-0.299461859163659,0.108334117991596,0.00013477662343408,0.0899165853496223
"Sec61g",2778.2290523397,-0.156979445826492,0.0535576828887138,0.00013878270687594,0.0899165853496223
"Tead2",1562.0395391442,-0.224588517498832,0.0789470915325717,0.000158927518447659,0.0978198876045342
"Capg",7655.55770612851,-0.15774858001239,0.0560572157579943,0.00019421611185223,0.107586525264854
"Galk1",2134.99398520705,-0.254033461409369,0.0920196603047382,0.00019500472738937,0.107586525264854
"Prkra",1063.02707221786,-0.164801345041355,0.0588725426807597,0.000201014628845787,0.107586525264854
"Mif",10184.8323908485,-0.274926013057759,0.100151394078847,0.000214880424558827,0.110215751096632
"Gk5",85.8053261158266,0.529972585201781,0.20635709704162,0.000307944201492287,0.147854712825987
"Igf1",2108.75487193334,0.240419217068353,0.0931044518474959,0.000324295470861222,0.147854712825987
"Ranbp3l",482.685912048365,0.46906865535973,0.182641532098765,0.000315684104767831,0.147854712825987
"Anxa8",4930.70090859794,-0.330082627350465,0.130614674095403,0.000359531236895569,0.158065340220873
"Slc1a3",6008.06074463677,0.293145461630249,0.114715648832061,0.000436265451495357,0.18518716234165
"Crim1",1248.58127046246,0.297583168956089,0.123902961579076,0.000492075730667599,0.201915074817272
"Fzd1",8366.23049763656,0.145870220976536,0.0596296978221128,0.000544881950484818,0.209609275327128
