"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"Cep290",80.239905126056,1.223592201813,0.192629205568163,1.23789132251481e-11,1.66038363088911e-07,TRUE,"up in T4400"
"Ptprv",242.22318406727,-1.02100302931464,0.170155397193885,9.59507112873654e-11,6.43493445248716e-07,TRUE,"down in T4400"
"Ccdc88a",340.325855415435,0.670254203693383,0.116073814173027,4.87560570698269e-10,2.17988331159196e-06,FALSE,"ns"
"Nfkbiz",2726.05927695966,0.824567997129335,0.14843676382501,1.51322872559038e-09,5.07423422408593e-06,FALSE,"ns"
"Dcn",3893.99450551931,1.3688283454908,0.249511938967926,1.90801008378118e-09,5.1184278507514e-06,TRUE,"up in T4400"
"Il1a",68.2666256625805,2.19534610199349,0.411995670733661,4.64238350932098e-09,1.0378048335087e-05,TRUE,"up in T4400"
"Hopx",524.780531445075,-0.799956726234765,0.151808661794142,7.28060933515597e-09,1.22068516265559e-05,FALSE,"ns"
"Mest",2236.71014155167,-1.34540584720657,0.25570934411306,6.41151972578957e-09,1.22068516265559e-05,TRUE,"down in T4400"
"Aldh1l2",2874.47462270998,1.36135390811987,0.263644383467246,1.0296392964512e-08,1.38105518832999e-05,TRUE,"up in T4400"
"Prdm1",165.114523528229,1.18950448319214,0.22870167026086,1.00655012410123e-08,1.38105518832999e-05,TRUE,"up in T4400"
"Akap7",752.421219240257,0.539475884645813,0.106196813426058,2.60335435452518e-08,3.17443563247693e-05,FALSE,"ns"
"Ccl3",31.308971882364,4.77659051968481,0.937250232714313,2.98029571206631e-08,3.33122553216212e-05,TRUE,"up in T4400"
"Hhat",671.623937452946,-0.601791023205805,0.121815216559493,4.76469203929113e-08,4.48317972329546e-05,FALSE,"ns"
"Nrn1",1036.0782448325,1.13628158912071,0.232349210158394,4.79299547253624e-08,4.48317972329546e-05,TRUE,"up in T4400"
"Spon2",3261.58115971155,-0.841838541918679,0.172067592904288,5.01362080440109e-08,4.48317972329546e-05,FALSE,"ns"
"Gper1",1137.66505389614,-0.657310572076059,0.134236728492551,5.53478600318106e-08,4.63988029129173e-05,FALSE,"ns"
"Erv3",54.8484682843913,1.81829239395813,0.381059475113651,8.66347136429316e-08,6.8354789064273e-05,TRUE,"up in T4400"
"Ero1l",3585.51210073771,1.25299454376156,0.26388229273342,9.35429624989251e-08,6.9705097555449e-05,TRUE,"up in T4400"
"Map3k8",552.425060656544,1.10709219303462,0.234331499822056,1.10324282128923e-07,7.78831366418548e-05,TRUE,"up in T4400"
"Fnip2",1168.23354930417,0.895161854461101,0.190652527356234,1.30405969330182e-07,8.34643211985871e-05,FALSE,"ns"
"Pogk",1208.49722921113,0.454063377889452,0.0946681317116859,1.30675519657819e-07,8.34643211985871e-05,FALSE,"ns"
"Foxc1",1131.57341170637,0.6599460417291,0.140253439379918,1.48288526477102e-07,8.52573826418121e-05,FALSE,"ns"
"Hspa5",56401.2844178183,0.828676915250515,0.176970910127138,1.49897375210636e-07,8.52573826418121e-05,FALSE,"ns"
"Wnt6",124.787060508639,-0.918904322274479,0.197149423678738,1.52551791799261e-07,8.52573826418121e-05,FALSE,"ns"
"Gadd45a",4085.47586090601,0.639250490712656,0.136771585402516,1.74036740901216e-07,8.97828771426157e-05,FALSE,"ns"
"P2rx3",34.5914118649548,2.30848615806977,0.49797544629056,1.67558684298608e-07,8.97828771426157e-05,TRUE,"up in T4400"
"Fgfr4",2503.40989444114,-0.804408870825412,0.173564748351211,1.82531945810169e-07,9.06778144130295e-05,FALSE,"ns"
"Pmf1",735.833893619035,-0.557787464773338,0.119464349473974,1.93242140390532e-07,9.25698867520787e-05,FALSE,"ns"
"Cxcl10",104.29640589065,1.22625892314057,0.269066094216301,2.15567667244938e-07,9.97037627847017e-05,TRUE,"up in T4400"
"Cdkn1c",505.781148035131,-1.14687102225452,0.25223214148686,2.43338032611807e-07,0.000108796434380739,TRUE,"down in T4400"
"Sardh",1638.56284385619,-0.490861660388052,0.106945477440126,3.14408507708893e-07,0.00013603746173869,FALSE,"ns"
"Igf2bp2",2940.38988162734,0.989707036918869,0.221253706369596,3.6591655769708e-07,0.000153376212137216,FALSE,"ns"
"Islr",18695.3252739005,-0.764444431310362,0.170686981219646,3.81186460776678e-07,0.000154934969648412,FALSE,"ns"
"Hk2",3395.58612439052,0.926527291129275,0.209094408756029,4.16387315598894e-07,0.000164264796003764,FALSE,"ns"
"Arl15",1351.10955090126,0.431868184852187,0.0959569152704242,5.56106015581304e-07,0.000207940248126025,FALSE,"ns"
"Atoh8",1295.06076312079,-0.317205694798357,0.069358995505407,5.91512287353123e-07,0.000207940248126025,FALSE,"ns"
"Capn6",1968.72027515325,-0.877096979193355,0.200850186477319,6.03498306162784e-07,0.000207940248126025,FALSE,"ns"
"Npy1r",171.260133470343,1.7504500766732,0.40319942783903,6.04612665094681e-07,0.000207940248126025,TRUE,"up in T4400"
"Rnf13",3433.49177186834,0.634044043216817,0.143256065486059,5.62488552302659e-07,0.000207940248126025,FALSE,"ns"
"Cln5",3533.21816245741,0.521834802014214,0.118314533146603,6.99055544905334e-07,0.000234410800595381,FALSE,"ns"
"Gbe1",1511.5848218439,0.778207994862489,0.179156421088037,7.22451880361098e-07,0.000236347489543498,FALSE,"ns"
"H2afv",2185.08272699926,-0.377206584905571,0.0845021656227231,7.67658908116671e-07,0.000239456021734161,FALSE,"ns"
"Slc25a37",5702.27813803005,0.638851755401977,0.146371895378791,7.65374627161718e-07,0.000239456021734161,FALSE,"ns"
"Glul",7121.1942694225,-0.330473264083858,0.0735451791594061,8.16126712561501e-07,0.000248788808990623,FALSE,"ns"
"Ccl2",1350.88443352455,0.978118469766268,0.228609578784173,8.81305938113817e-07,0.000256290640138365,FALSE,"ns"
"Nipsnap3b",1146.16037766797,0.361418829824667,0.0814524038365464,9.36273866158195e-07,0.000256290640138365,FALSE,"ns"
"Nt5e",1125.10604523804,0.691277836661695,0.160688957270939,9.33307786882087e-07,0.000256290640138365,FALSE,"ns"
"Slc22a23",579.507320266924,0.740193719066642,0.171598052684537,8.60840951365048e-07,0.000256290640138365,FALSE,"ns"
"Wnt10b",188.554827793443,0.57832385488688,0.133353290018366,9.11346458865527e-07,0.000256290640138365,FALSE,"ns"
"Klf4",2218.07225953352,1.13281033212357,0.268550212932463,1.09290892114462e-06,0.000293183747186256,TRUE,"up in T4400"
"Rem1",865.941010624044,-0.484551197324217,0.112262516462296,1.12453155731549e-06,0.000295751799573973,FALSE,"ns"
"Gm6093",269.114051520932,0.908546642535982,0.214769104060824,1.16058443410748e-06,0.000299363827205456,FALSE,"ns"
"Cxcr4",1859.75571100247,-0.61379097675841,0.14452316690057,1.2431216902814e-06,0.000308777615402675,FALSE,"ns"
"Osmr",6185.24104341173,0.762879309655914,0.180812165270631,1.22201620558036e-06,0.000308777615402675,FALSE,"ns"
"Csgalnact1",3231.92706596743,0.609183890294266,0.144168563907584,1.40253963277733e-06,0.000335933287400756,FALSE,"ns"
"Zfp945",322.942473659107,0.439061076040306,0.102166894746111,1.39614688192965e-06,0.000335933287400756,FALSE,"ns"
"Avil",36.6405683560186,1.83022991203122,0.441171289527203,1.49098044621727e-06,0.000350851240791444,TRUE,"up in T4400"
"Adm2",123.807175611019,1.72421682151791,0.42045479173812,1.68577533499734e-06,0.000383242450310498,TRUE,"up in T4400"
"Cxcl12",24669.8760802004,0.778458466845829,0.190160877049349,1.68344483806683e-06,0.000383242450310498,FALSE,"ns"
"Mgst1",2376.10194754499,1.10445777858391,0.269590681712346,1.86035809021756e-06,0.000415883051068136,TRUE,"up in T4400"
"Ank2",439.907659231784,0.848078377088201,0.206616094108242,1.98305195282091e-06,0.000419455401206878,FALSE,"ns"
"Arhgap26",88.3833264288017,1.03769206317796,0.253676173267918,2.03574891252641e-06,0.000419455401206878,TRUE,"up in T4400"
"Gdnf",1084.5209913904,0.632258401312875,0.152722931308629,1.97727833899566e-06,0.000419455401206878,FALSE,"ns"
"Lsm2",821.517335464347,-0.391854935363615,0.0924120202968539,1.9910814777733e-06,0.000419455401206878,FALSE,"ns"
"Mtch1",15786.3736692044,-0.361277631336848,0.0847873945388525,2.0639720032546e-06,0.000419455401206878,FALSE,"ns"
"Pvr",2236.82743524675,0.49447033664853,0.118230030791725,2.01494999389431e-06,0.000419455401206878,FALSE,"ns"
"Ptprm",1077.31058339268,0.56827011671897,0.13727909346647,2.17718394497636e-06,0.000435859227671163,FALSE,"ns"
"Impact",3918.71637829101,0.477170702665414,0.114477809661824,2.23318105928336e-06,0.000440442194590359,FALSE,"ns"
"Itgb7",66.6635777871927,2.23041561827554,0.552493146693087,2.26575049778087e-06,0.000440442194590359,TRUE,"up in T4400"
"Ankrd12",300.290405665742,0.693595608437364,0.17081809725139,2.68549501553531e-06,0.000480601201699512,FALSE,"ns"
"Camk1g",676.539547730405,-0.722372303357026,0.178238169932938,2.56247985967308e-06,0.000480601201699512,FALSE,"ns"
"Ccnd2",909.672403143466,0.72235469778337,0.178236911275141,2.6255000592218e-06,0.000480601201699512,FALSE,"ns"
"Crnde",205.360498083406,-0.690253396328888,0.170121684417013,2.6177902469263e-06,0.000480601201699512,FALSE,"ns"
"Etfb",2066.52043511485,-0.332580973487013,0.0789016054348708,2.8228756862299e-06,0.000480601201699512,FALSE,"ns"
"Olfml3",10838.6820271906,-0.341325928860187,0.0814047245896618,2.82052657824544e-06,0.000480601201699512,FALSE,"ns"
"Ptrf",19333.2718265132,-0.347038192000106,0.0825768266881547,2.83064899234037e-06,0.000480601201699512,FALSE,"ns"
"Spock2",2530.16487123876,-0.359473491560447,0.0853984812256305,2.55512299188218e-06,0.000480601201699512,FALSE,"ns"
"Tgoln1",2525.4020862246,0.377883696410556,0.0904848555283518,2.82157294829062e-06,0.000480601201699512,FALSE,"ns"
"Tpp1",5489.7306858708,0.513187806746438,0.125339437278596,2.72646850875835e-06,0.000480601201699512,FALSE,"ns"
"Casp4",429.70715971998,0.662393750090417,0.164331058943861,3.08551995897821e-06,0.000517325990122184,FALSE,"ns"
"Anpep",5141.5713323453,0.946362807988415,0.237329653313353,3.20629664943202e-06,0.000530501836333841,FALSE,"ns"
"Asah1",9429.56107689086,0.393679442455649,0.0953176445051776,3.2432081249068e-06,0.000530501836333841,FALSE,"ns"
"Adrb2",617.562517501531,-0.571848220591219,0.142441705057897,3.55171135994614e-06,0.000535270836752333,FALSE,"ns"
"Atf3",277.666984662633,1.28368969442473,0.325545401003826,3.40291791516946e-06,0.000535270836752333,TRUE,"up in T4400"
"Eno2",2462.32451737757,0.915599452873947,0.231286973564444,3.47420153655364e-06,0.000535270836752333,FALSE,"ns"
"Ivns1abp",23150.8849429225,0.199953637501162,0.0453788497163369,3.31895027802018e-06,0.000535270836752333,FALSE,"ns"
"Tbcel",1536.05693405693,0.315323852166159,0.0751739334410216,3.41096644012957e-06,0.000535270836752333,FALSE,"ns"
"Trib1",1194.76557680561,0.821534332989144,0.207170923970711,3.54994577792253e-06,0.000535270836752333,FALSE,"ns"
"Wdr6",3826.51819984488,-0.320984633727386,0.0768209276594458,3.49800466312325e-06,0.000535270836752333,FALSE,"ns"
"Aim1",1600.67287582194,-0.495612447760394,0.123011136539072,3.7562285773178e-06,0.000559803265639596,FALSE,"ns"
"Cd82",14115.0238020948,-0.476699934911591,0.118103822627318,3.81146052012133e-06,0.000561792526993268,FALSE,"ns"
"Gsn",29031.2714412056,-0.311258293366255,0.0748900598168561,3.91787917158653e-06,0.000571201231831414,FALSE,"ns"
"Anxa2",35838.3396861265,-0.332934688487495,0.0806073512605293,4.06680108935065e-06,0.000586537666789895,FALSE,"ns"
"Slc16a1",10217.818249343,0.845958244332071,0.215793131461444,4.22581091231517e-06,0.000602987252839184,FALSE,"ns"
"Actb",88177.1778328686,-0.412185256769768,0.101176492913384,4.30323493318286e-06,0.000607571475355596,FALSE,"ns"
"Serpina3g",471.215996166584,1.02388734110908,0.263638135865748,4.60883075412145e-06,0.000643940071927406,TRUE,"up in T4400"
"Actg2",4571.61345459683,-0.958768987238402,0.247804368372779,4.8585505818217e-06,0.000661888929455812,FALSE,"ns"
"Col6a1",71087.6227093973,-0.627494941857683,0.160057517660559,4.88533542206258e-06,0.000661888929455812,FALSE,"ns"
"Uaca",2497.72513491816,0.504850844670138,0.126847031986947,4.82671638040137e-06,0.000661888929455812,FALSE,"ns"
"Cebpb",3593.07435517173,0.759240025909686,0.197226284920876,4.94981475734807e-06,0.000663918653403096,FALSE,"ns"
"Rock1",714.467951771814,0.539397708723225,0.136541306213014,5.0303082004539e-06,0.000668034890026615,FALSE,"ns"
"9930012K11Rik",408.34652600048,-0.47243370496604,0.11953502843254,5.45245502147856e-06,0.000710036691292155,FALSE,"ns"
"Ch25h",134.340689738183,0.801073488071612,0.207368101224436,5.44172252978599e-06,0.000710036691292155,FALSE,"ns"
"Maff",1483.68130188505,1.0704846968873,0.279716451565824,5.59028433101092e-06,0.000720985420498553,TRUE,"up in T4400"
"Ampd3",2640.27054052596,0.84319033148722,0.219305256595213,5.69551300299039e-06,0.000727561103896286,FALSE,"ns"
"Pax7",1215.74543310991,-0.523108620055357,0.134037050528088,5.89487439500469e-06,0.000745924059058471,FALSE,"ns"
"Acta2",106345.134713502,-0.766447032816889,0.199914175361248,6.03672151282283e-06,0.000753665720248025,FALSE,"ns"
"Ap3s1",4945.23269811105,0.527425547820669,0.134599682012981,6.06843344418003e-06,0.000753665720248025,FALSE,"ns"
"Ifit1",147.321482727778,1.36045507364613,0.359466895601761,6.25379548347064e-06,0.000769561090089832,TRUE,"up in T4400"
"Kcnh2",290.982354528153,-0.911857114294926,0.239989593379189,6.38355128415263e-06,0.000771374534903957,FALSE,"ns"
"Steap4",699.967945100794,1.19615537054448,0.315641991497788,6.35020106901902e-06,0.000771374534903957,TRUE,"up in T4400"
"Dnajb9",2809.62579193768,0.60904792026384,0.157680474914405,6.48678154276732e-06,0.000776850007438733,FALSE,"ns"
"Ucp2",8959.5108076155,-0.807633777948108,0.212901376673748,6.92037239233187e-06,0.000821442078746437,FALSE,"ns"
"Fscn1",13293.8821771885,-0.330050542373132,0.0824993511423091,7.07259941265327e-06,0.000825316181191279,FALSE,"ns"
"Havcr2",64.8792049629325,1.78499945109765,0.475480347056785,7.10390195612181e-06,0.000825316181191279,TRUE,"up in T4400"
"Il6",417.879913163904,2.39084660861571,0.642637578320464,7.13760359488469e-06,0.000825316181191279,TRUE,"up in T4400"
"Fosl2",11642.9244214615,0.407427541384839,0.103917327895883,7.50152958020058e-06,0.000852695053044325,FALSE,"ns"
"Pif1",229.226236522782,-0.853401673066762,0.22641803037487,7.46928423409466e-06,0.000852695053044325,FALSE,"ns"
"Slc17a5",918.675745718345,0.434630697378152,0.111628110346217,7.72122840428107e-06,0.000870292744425395,FALSE,"ns"
"Gltscr1l",1213.92421679535,0.296575437608991,0.0737407878638772,7.78896332176466e-06,0.000870611375290245,FALSE,"ns"
