"feature","log2FC_shrunk","mean_DMSO","mean_T4400","raw_higher_in","agrees"
"Cep290",1.223592201813,45.25,124.75,"T4400",TRUE
"Ptprv",-1.02100302931464,306.25,170,"DMSO",TRUE
"Dcn",1.3688283454908,2043,6225,"T4400",TRUE
"Il1a",2.19534610199349,21.75,124.5,"T4400",TRUE
"Mest",-1.34540584720657,3071.25,1321,"DMSO",TRUE
"Aldh1l2",1.36135390811987,1494.25,4600.25,"T4400",TRUE
"Prdm1",1.18950448319214,94.75,255.5,"T4400",TRUE
"Ccl3",4.77659051968481,1.75,66.5,"T4400",TRUE
"Nrn1",1.13628158912071,609,1583.5,"T4400",TRUE
"Erv3",1.81829239395813,21.75,95.5,"T4400",TRUE
"Ero1l",1.25299454376156,1927,5623.25,"T4400",TRUE
"Map3k8",1.10709219303462,331.5,840,"T4400",TRUE
"P2rx3",2.30848615806977,10,64.25,"T4400",TRUE
"Cxcl10",1.22625892314057,54.25,162.25,"T4400",TRUE
"Cdkn1c",-1.14687102225452,688.75,328,"DMSO",TRUE
"Npy1r",1.7504500766732,70.75,295.75,"T4400",TRUE
"Klf4",1.13281033212357,1259,3404.25,"T4400",TRUE
"Avil",1.83022991203122,14,64.25,"T4400",TRUE
"Adm2",1.72421682151791,50.25,213.25,"T4400",TRUE
"Mgst1",1.10445777858391,1400.75,3627.75,"T4400",TRUE
