"gene_id","shrunken_log2FC","padj","mean_raw_control","mean_raw_treated","sign_consistent"
"Gene0035",1.737,1.31e-10,47.3,166.8,TRUE
"Gene0043",1.642,1.05e-09,1189.2,3761.7,TRUE
"Gene0008",1.933,1.08e-09,81.5,328.3,TRUE
"Gene0014",1.735,4.76e-09,46.8,166.3,TRUE
"Gene0054",1.621,4.76e-09,44.7,149.3,TRUE
"Gene0012",1.9,1.4e-08,18.2,72.3,TRUE
"Gene0042",1.562,1.54e-08,100,296.7,TRUE
"Gene0003",1.499,4.4e-08,67.7,204.8,TRUE
"Gene0098",-1.621,4.57e-08,252.5,78.5,TRUE
"Gene0100",-1.9,4.57e-08,60.7,15.3,TRUE
"Gene0004",1.495,9.78e-08,105.7,333.7,TRUE
"Gene0040",1.585,2.25e-07,49.7,161.5,TRUE
"Gene0006",1.684,2.73e-07,71.3,242.8,TRUE
"Gene0049",1.573,3.69e-07,113,371.7,TRUE
"Gene0062",-1.393,1.47e-06,239.2,82.2,TRUE
"Gene0038",1.351,2.35e-06,62.7,171.5,TRUE
"Gene0085",-1.299,6.25e-06,243.2,95,TRUE
"Gene0021",1.344,9.08e-06,27,73.7,TRUE
"Gene0017",1.454,1.33e-05,57.5,171.7,TRUE
"Gene0057",1.615,1.33e-05,18.8,62.5,TRUE
