"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"Gene0035",103.879723813235,1.7370832646258,0.247424068089791,1.3253049328557e-13,1.31072657859429e-10,TRUE,"up in treated"
"Gene0043",2367.90689202682,1.64180677393692,0.250519894762881,2.11336736089796e-12,1.04506015996404e-09,TRUE,"up in treated"
"Gene0008",198.889283599712,1.93337234607246,0.300217701752441,3.28653884161612e-12,1.08346230478611e-09,TRUE,"up in treated"
"Gene0014",104.205482146885,1.73453898274598,0.280533070477792,2.27345671203812e-11,4.76222570249705e-09,TRUE,"up in treated"
"Gene0054",93.9571070011269,1.62109412169026,0.260455505400086,2.40759641177809e-11,4.76222570249705e-09,TRUE,"up in treated"
"Gene0012",43.7387801409843,1.89956368178104,0.315387458976627,8.51268112114458e-11,1.403173604802e-08,TRUE,"up in treated"
"Gene0042",191.323640139709,1.56207618355491,0.262944849662931,1.08858808490211e-10,1.53801945138312e-08,TRUE,"up in treated"
"Gene0003",132.372729409403,1.49873528785068,0.25899946375401,3.55523748601239e-10,4.39516234208281e-08,TRUE,"up in treated"
"Gene0098",160.199863191009,-1.62120216692317,0.283891051082594,4.6182776656448e-10,4.56747661132271e-08,TRUE,"down in treated"
"Gene0100",37.2821933361027,-1.89987994891226,0.329259620280523,4.28392816090177e-10,4.56747661132271e-08,TRUE,"down in treated"
"Gene0004",210.278191366396,1.49460932490011,0.268320897661121,1.08740645088057e-09,9.77677254473527e-08,TRUE,"up in treated"
"Gene0040",102.615129112221,1.58487318973985,0.29051698419148,2.73242922241815e-09,2.25197708414296e-07,TRUE,"up in treated"
"Gene0006",152.378197850743,1.68366576609279,0.313080755764507,3.58754989178372e-09,2.72929757151854e-07,TRUE,"up in treated"
"Gene0049",233.563747448898,1.57251587910631,0.298448819010968,5.22132323984872e-09,3.68849191729313e-07,TRUE,"up in treated"
"Gene0062",153.999950606302,-1.39271212121359,0.277540703368876,2.22248281742934e-08,1.46535700429174e-06,TRUE,"down in treated"
"Gene0038",113.540957424668,1.35100731353439,0.271801529470234,3.80778899614096e-08,2.35368957323963e-06,TRUE,"up in treated"
"Gene0085",166.00787583625,-1.29925732491128,0.27679338773257,1.07455508686406e-07,6.25138224063855e-06,TRUE,"down in treated"
"Gene0021",48.4552415720921,1.34393110831527,0.287701593075897,1.65233038566748e-07,9.07863750791744e-06,TRUE,"up in treated"
"Gene0017",111.134099642956,1.45449235899942,0.320837131766553,2.64493701824946e-07,1.32714267004978e-05,TRUE,"up in treated"
"Gene0057",39.529435531367,1.614943152735,0.362766094393054,2.81799758048992e-07,1.32714267004978e-05,TRUE,"up in treated"
