"taxon","n_pairs","median_before","median_after","median_delta","p","p_adj","disease"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__",35,3.03904764744147,-0.783376984269452,-1.45194860851003,0.000637699975486792,0.0867271966662037,"IBS"
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila",35,2.27338642465148,3.06906236504417,1.27089991656907,0.00384117432616327,0.214069922441329,"IBS"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__",35,-1.13135201023649,-1.80272297111971,-0.671421387642333,0.00472213064208814,0.214069922441329,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__",35,2.13869852589832,2.51782713933762,1.07358538354704,0.008163502365655,0.268958710662783,"IBS"
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__",35,-1.61467093136179,-1.80899503099214,-0.464299048940392,0.00988818789201407,0.268958710662783,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__catus",35,-1.85610191012082,-1.47698096614049,0.55449563330671,0.0150031616387809,0.340071663812367,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis",35,-1.82360870602936,-1.53519450731775,0.40064091030461,0.0179432968863018,0.348612625219578,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii",35,-0.788797820066861,2.31533907798258,0.67162391371224,0.0243139215724566,0.391280139427629,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri",35,-1.85610191012082,-1.64046783626816,0.40064091030461,0.0264612996081801,0.391280139427629,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__",35,-1.42628047150585,-0.141251754934337,0.55449563330671,0.0287705984873257,0.391280139427629,"IBS"
