"taxon","n_great","n_poor","median_delta_great","median_delta_poor","p","p_adj","disease"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__",17,18,0.55449563330671,-0.337305890931981,0.00585289809127754,0.502737386537875,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__",17,18,0.843079182292108,-0.414874794769363,0.0105312077301494,0.502737386537875,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__",17,18,0.40064091030461,-0.419346139283419,0.0199734244781227,0.502737386537875,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__zeae",17,18,0.55449563330671,-0.337305890931981,0.0199734244781227,0.502737386537875,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__",17,18,-0.415587961491733,2.91550951296151,0.0199734244781227,0.502737386537875,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__",17,18,0.55449563330671,-0.419346139283419,0.0258917219753985,0.502737386537875,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__;__",17,18,0.55449563330671,-0.185468494067804,0.0306318885980379,0.502737386537875,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__mucosae",17,18,0.630632344556338,-0.235234032589143,0.0306318885980379,0.502737386537875,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius",17,18,0.40064091030461,-0.235234032589143,0.03326938587383,0.502737386537875,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;__",17,18,0.55449563330671,-0.213349938858473,0.0423766225033011,0.519601377683291,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__",17,18,-1.05088947225984,-0.000523233000492285,0.0458471803838198,0.519601377683291,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__",17,18,-0.786975660054086,0.620579838121852,0.0458471803838198,0.519601377683291,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__eutactus",17,18,0.0333444234805529,-0.502480757889621,0.0577247011232611,0.560754239483109,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__",17,18,-0.492105053530639,-0.00499925741729856,0.0577247011232612,0.560754239483109,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__spiroforme",17,18,0.630632344556338,-0.188344402718438,0.0669852542319651,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas;s__",17,18,0.55449563330671,-0.497506831740987,0.0774355985017523,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__;s__",17,18,0.013866680918909,-0.502480757889621,0.0891773424298969,0.58706831557889,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri",17,18,0.320907402803076,-0.656868798696597,0.102312731696148,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__biforme",17,18,0.40064091030461,-0.337305890931981,0.102312731696148,0.58706831557889,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum",17,18,0.40064091030461,-0.419346139283419,0.102312731696148,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__",17,18,-0.079955915429692,0.646444412959255,0.109434843931232,0.58706831557889,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus",17,18,-0.0805947065684971,-1.50925232648818,0.109434843931232,0.58706831557889,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__",17,18,0.118600529469242,-0.63294193765809,0.116943314497756,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;__;__",17,18,0.0333444234805529,-0.312300354791947,0.124850485067197,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__",17,18,-1.05528668143301,0.247838163492477,0.124850485067197,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar",17,18,-2.13498058661521,-0.58337841934616,0.124850485067197,0.58706831557889,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__",17,18,0.320907402803076,-0.419346139283419,0.133168461530953,0.58706831557889,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella;s__",17,18,0.0333444234805529,-0.419346139283419,0.133168461530953,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii",17,18,1.06740723237544,0.46781735234506,0.133168461530953,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__citroniae",17,18,0.40064091030461,-0.342279817080615,0.133168461530953,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__",17,18,1.48842350666697,-0.445754892554113,0.141909061056916,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula",17,18,-0.464299048940392,0.0602045744151699,0.141909061056916,0.58706831557889,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__",17,18,0.109079905806478,-0.448327905228066,0.151083757685744,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__helveticus",17,18,0.320907402803076,-0.342279817080615,0.151083757685744,0.58706831557889,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum",17,18,0.320907402803076,-0.235234032589143,0.151083757685744,0.58706831557889,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;__",17,18,0.013866680918909,-0.542896800388559,0.170779287982097,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__",17,18,-0.702075444452389,-0.0301542834362849,0.181320848725683,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;__;__",17,18,0.0333444234805529,0.36758993876579,0.181320848725683,0.6304576618919,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis",17,18,0.55449563330671,0.0210914138111297,0.203839186993662,0.6304576618919,"IBS"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__D168",17,18,0.0333444234805529,-0.337305890931981,0.203839186993662,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__",17,18,-0.512423168544663,0.00970082941079986,0.203839186993662,0.6304576618919,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__",17,18,-0.932739410529997,0.00910305936072558,0.203839186993662,0.6304576618919,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis",17,18,0.55449563330671,-0.135371421644311,0.215833095068383,0.6304576618919,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;__;__",17,18,0.320907402803076,-0.312300354791947,0.215833095068383,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__",17,18,-0.0459572601798612,0.419805966624294,0.228327048798202,0.6304576618919,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__",17,18,-0.462919434582346,0.307873662295602,0.228327048798202,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__",17,18,0.173433216651234,1.6275357804801,0.228327048798202,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__",17,18,-0.786975660054086,-0.188344402718438,0.241327727515937,0.6304576618919,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__",17,18,0.320907402803076,-0.554781245200522,0.241327727515937,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;__",17,18,0.695631815029937,-0.114650399978954,0.241327727515937,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta",17,18,0.320907402803076,-0.235234032589143,0.241327727515937,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__",17,18,-0.464299048940392,-0.124364049067334,0.254840955804296,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus",17,18,0.0333444234805529,-1.45971758515107,0.254840955804296,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__",17,18,0.320907402803076,-0.235234032589143,0.268871649924487,0.6304576618919,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__",17,18,0.0333444234805529,-0.419346139283419,0.268871649924487,0.6304576618919,"IBS"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__C21_c20",17,18,-0.344409297613635,0.458688896542105,0.268871649924487,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;__",17,18,0.0333444234805529,-0.547870726537193,0.268871649924487,0.6304576618919,"IBS"
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__",17,18,0.320907402803076,-0.337305890931981,0.268871649924487,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__",17,18,-0.262946592355671,-0.626031418994761,0.283423766165221,0.653315799974069,"IBS"
