feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
k__Bacteria;__;__;__;__;__;__,Group,0.8049,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,3.7143,1.8931
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas;s__,Group,0.4001,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8632,-0.2122
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,Group,0.4549,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.9987,-0.0019
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__,Group,0.9087,0.9941,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.0853,0.1181
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__,Group,0.2962,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.252,0.3243
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__dolichum,Group,0.7531,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.4254,-1.2332
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__,Group,0.3598,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.277,-1.8521
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__ramosum,Group,0.6968,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2385,0.3085
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii,Group,0.9083,0.9941,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.9376,-0.093
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__,Group,0.8163,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8016,-0.319
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;__,Group,0.5404,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.3467,0.4295
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus,Group,0.1411,0.8637,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.4006,1.2634
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,Group,0.6581,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.4554,0.5414
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,Group,0.6165,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.3012,0.3798
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis,Group,0.8331,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8036,-0.3154
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__,Group,0.689,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.0175,0.025
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;__;__,Group,0.9938,1,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.5741,-0.8007
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__,Group,0.8449,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.9139,-0.1299
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__formicilis,Group,0.5729,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.715,-0.4841
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__;__,Group,0.5121,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,4.0323,2.0116
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__,Group,0.9235,0.9989,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2092,0.2741
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__,Group,0.2489,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.538,-0.8944
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__spiroforme,Group,0.1445,0.8637,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8069,-0.3095
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__,Group,0.0165,0.3013,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.3187,-1.6499
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__;__,Group,0.1631,0.8915,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.16,-2.6439
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__,Group,0.3624,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.3759,0.4603
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,Group,0.4494,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.1059,0.1452
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa,Group,0.9975,1,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.7829,-0.3531
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__,Group,0.611,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.9891,-0.0158
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__,Group,0.5919,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8718,-0.1979
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__,Group,0.9528,1,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.9055,-0.1431
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__,Group,0.0803,0.6424,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.6987,-0.5172
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__;__,Group,0.6382,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2016,0.265
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__,Group,0.668,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.9942,-0.0084
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__,Group,0.4536,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.4155,0.5013
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__,Group,0.3323,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2182,0.2848
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta,Group,1,1,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2803,0.3565
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__,Group,0.3451,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2927,0.3704
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__,Group,0.8409,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2332,0.3024
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__,Group,0.143,0.8637,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.2963,-1.755
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__helveticus,Group,0.3316,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.9542,0.9666
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__,Group,0.5649,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.4791,0.5647
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__,Group,0.5521,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.5806,1.3677
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__,Group,0.2316,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.8671,0.9008
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__,Group,0.7791,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.4861,-1.0406
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__moorei,Group,0.7764,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.4,0.4854
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri,Group,0.3323,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.4796,0.5652
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila,Group,0.0469,0.5997,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.1729,-2.5318
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus,Group,0.1484,0.8637,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.1819,1.1256
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__,Group,0.7821,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.6197,0.6957
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__,Group,0.7507,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.6845,-0.5469
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis,Group,0.1845,0.9445,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,2.2003,1.1377
k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__,Group,0.7771,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.7263,-0.4613
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__,Group,0.0104,0.2595,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.2605,-1.9409
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__longicatena,Group,0.1048,0.7452,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,3.4041,1.7673
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__,Group,0.5393,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.4021,0.4875
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;__,Group,0.2725,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.3448,-1.5361
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__,Group,0.3531,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8583,-0.2205
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,Group,0.7123,0.9656,IBS_before,Wilcoxon rank sum exact test,IBS_before vs IBS_after,1.2047,0.2687
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;__,Group,0.5898,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.7782,-0.3618
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum,Group,0.9617,1,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.6399,-0.6441
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis,Group,0.9977,1,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.697,-0.5208
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis,Group,0.0122,0.2595,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.037,-4.7549
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__,Group,0.6686,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.8536,-0.2284
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__,Group,0.8312,0.9656,IBS_after,Wilcoxon rank sum exact test,IBS_before vs IBS_after,0.7938,-0.3332
