primary,PCoA1,PCoA2,PCoA3
J_XYL_F_0001_01,-0.3112,-0.1974,0.066
J_XYL_F_0001_02,-0.4026,-0.1026,-0.1205
J_XYL_F_0002_01,0.232,-0.1069,0.1073
J_XYL_F_0002_02,0.2366,-0.0644,-0.0351
J_XYL_F_0003_01,0.2398,-0.1331,0.0962
J_XYL_F_0003_02,0.2385,0.0215,-0.397
J_XYL_F_0004_01,0.2316,-0.0531,0.1296
J_XYL_F_0004_02,0.074,0.0407,0.0866
J_XYL_F_0005_01,0.1846,-0.1528,0.0671
J_XYL_F_0005_02,0.1628,-0.1541,0.0778
J_XYL_F_0006_01,0.1156,-0.1106,0.0753
J_XYL_F_0006_02,0.1221,-0.0707,-0.0197
J_XYL_F_0010_01,0.2252,-0.1322,0.0718
J_XYL_F_0010_02,0.2255,-0.1309,0.0598
J_XYL_F_0012_01,0.1348,0.0598,-0.392
J_XYL_F_0012_02,0.1482,0.0736,-0.5139
J_XYL_F_0013_01,0.0148,-0.1234,0.0045
J_XYL_F_0013_02,-0.1983,-0.0921,-0.0171
J_XYL_F_0015_01,-0.2184,-0.144,-0.0309
J_XYL_F_0015_02,0.025,-0.0944,-0.1039
J_XYL_F_0016_01,-0.135,-0.1099,-0.0219
J_XYL_F_0016_02,-0.0995,-0.1224,0.0147
J_XYL_F_0018_01,0.2046,-0.0649,0.0803
J_XYL_F_0018_02,0.0636,-0.119,0.0332
J_XYL_F_0020_01,0.2572,-0.0342,0.1436
J_XYL_F_0020_02,-0.0128,-0.0339,-0.0609
J_XYL_F_0025_01,0.2124,-0.1408,0.1189
J_XYL_F_0025_02,-0.004,-0.1693,0.0631
J_XYL_F_0031_01,0.0489,0.2705,0.1314
J_XYL_F_0031_02,0.0558,0.1945,0.1396
J_XYL_F_0032_01,0.0757,-0.0348,0.0864
J_XYL_F_0032_02,0.1474,-0.0172,0.1356
J_XYL_F_0034_01,0.0172,-0.0265,0.084
J_XYL_F_0034_02,-0.3245,-0.1319,-0.0723
