feature,J_XYL_F_0001_01,J_XYL_F_0001_02,J_XYL_F_0002_01,J_XYL_F_0002_02,J_XYL_F_0003_01,J_XYL_F_0003_02,J_XYL_F_0004_01,J_XYL_F_0004_02,J_XYL_F_0005_01,J_XYL_F_0005_02,J_XYL_F_0006_01,J_XYL_F_0006_02,J_XYL_F_0010_01,J_XYL_F_0010_02,J_XYL_F_0012_01,J_XYL_F_0012_02,J_XYL_F_0013_01,J_XYL_F_0013_02,J_XYL_F_0015_01,J_XYL_F_0015_02,J_XYL_F_0016_01,J_XYL_F_0016_02,J_XYL_F_0018_01,J_XYL_F_0018_02,J_XYL_F_0020_01,J_XYL_F_0020_02,J_XYL_F_0025_01,J_XYL_F_0025_02,J_XYL_F_0031_01,J_XYL_F_0031_02,J_XYL_F_0032_01,J_XYL_F_0032_02,J_XYL_F_0034_01,J_XYL_F_0034_02,J_XYL_F_0036_01,J_XYL_F_0036_02,J_XYL_F_0043_01,J_XYL_F_0043_2,J_XYL_F_0044_01,J_XYL_F_0044_02,J_XYL_F_0045_01,J_XYL_F_0045_2,J_XYL_F_0046_01,J_XYL_F_0046_02,J_XYL_F_0047_01,J_XYL_F_0047_02,J_XYL_F_0048_01,J_XYL_F_0049_02,J_XYL_F_0050_01,J_XYL_F_0050_02,J_XYL_F_0051_01,J_XYL_F_0051_02,J_XYL_F_0053_01,J_XYL_F_0053_02,J_XYL_F_0057_01,J_XYL_F_0057_02,J_XYL_F_0058_01,J_XYL_F_0058_02,J_XYL_F_0059_01,J_XYL_F_0059_02,J_XYL_F_0060_01,J_XYL_F_0060_02,J_XYL_F_0061_01,J_XYL_F_0061_02,J_XYL_F_0062_01,J_XYL_F_0062_02,J_XYL_F_0064_01,J_XYL_F_0064_02,J_XYL_F_0065_01,J_XYL_F_0065_02,J_XYL_F_0066_01,J_XYL_F_0066_02,K_XYL_F_0001_01,K_XYL_F_0001_02,K_XYL_F_0002_01,K_XYL_F_0002_02,K_XYL_F_0003_01,K_XYL_F_0003_02,K_XYL_F_0004_01,K_XYL_F_0004_02,K_XYL_F_0005_01,K_XYL_F_0005_02,K_XYL_F_0007_01,K_XYL_F_0007_02,K_XYL_F_0008_01,K_XYL_F_0008_02,K_XYL_F_0009_01,K_XYL_F_0009_02,K_XYL_F_0009_03,K_XYL_F_0011_01,K_XYL_F_0011_02,K_XYL_F_0012_01,K_XYL_F_0012_02,K_XYL_F_0013_01,K_XYL_F_0013_02,K_XYL_F_0017_01,K_XYL_F_0017_02,K_XYL_F_0018_01,K_XYL_F_0018_02,K_XYL_F_0022_01,K_XYL_F_0022_02,K_XYL_F_0028_01,K_XYL_F_0028_02,K_XYL_F_0030_02,K_XYL_F_0030_03,K_XYL_F_0033_01,K_XYL_F_0033_02,K_XYL_F_0035_01,K_XYL_F_0035_02,K_XYL_F_0035_03,K_XYL_F_0036_01,K_XYL_F_0036_02,K_XYL_F_0037_01,K_XYL_F_0037_02,K_XYL_F_0038_01,K_XYL_F_0038_02,K_XYL_F_0039_01,K_XYL_F_0039_02,K_XYL_F_0042_01,K_XYL_F_0042_02,K_XYL_F_0043_01,K_XYL_F_0043_02,K_XYL_F_0044_01,K_XYL_F_0044_02,K_XYL_F_0045_01,K_XYL_F_0045_02,K_XYL_F_0046_01,K_XYL_F_0046_02,K_XYL_F_0047_01,K_XYL_F_0047_02,K_XYL_F_0048_01,K_XYL_F_0048_02
k__Bacteria;__;__;__;__;__;__,5,0,0,0,0,11,6,3,3,0,0,0,8,3,0,0,7,0,0,5,0,0,0,0,15,0,0,7,6,5,3,0,0,0,0,8,0,0,0,0,0,6,13,0,3,0,2,0,0,0,8,0,3,4,0,10,0,10,0,0,0,6,0,0,4,0,2,0,276,17,0,3,0,3,4,0,2,15,0,0,0,8,0,0,2,5,0,3,18,0,0,0,11,0,5,8,0,6,0,0,4,0,0,0,12,0,5,0,0,0,2,0,0,0,0,0,0,8,0,7,0,14,0,7,14,3,23,0,0,3,9,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas;s__,0,12,0,37,0,0,0,0,195,0,2978,0,459,497,0,43,3100,7626,41,54,0,54,161,71,166,0,160,0,0,0,174,0,94,343,44,0,0,0,0,0,31,22,108,521,39,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,661,435,0,0,69,0,223,308,0,0,34,0,15,0,0,48,154,357,0,467,0,0,0,0,0,24,0,503,694,19,39,0,19,42,68,84,50,37,98,785,931,0,0,17,0,0,0,0,0,0,38,50,0,33,0,0,0,0,0,0,269,591,0,0,0,0,35,0,29,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,0,0,329,352,0,29,0,21,78,19,0,0,56,365,0,0,14,34,0,19,0,54,56,0,48,0,101,139,37,0,36,23,74,26,71,0,97,0,0,0,0,0,59,21,15,13,12,28,30,0,0,225,121,42,0,0,10,23,220,320,6,0,75,38,100,59,35,72,547,313,5,0,0,0,0,12,0,18,0,0,0,17,108,3,17,90,0,33,7,0,0,12,5,0,16,0,32,8,25,16,52,0,0,49,11,0,32,55,37,120,48,0,3,217,0,35,26,0,38,10,22,8,0,0,137,86,137,50,0,36,28,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__,421,229,587,448,62,391,592,311,390,691,876,790,621,444,582,275,175,9,2,65,195,115,585,0,620,65,1367,658,427,722,137,690,531,280,245,170,553,167,175,143,141,59,134,474,244,718,0,559,298,0,254,307,251,298,953,777,38,523,263,680,452,266,496,43,191,97,42,145,240,385,0,113,0,0,18,12,104,320,69,0,376,43,502,1017,447,154,0,325,233,556,98,560,234,262,182,0,82,143,5,95,365,0,75,106,2,215,231,740,678,612,423,996,422,159,86,327,178,0,142,163,450,48,255,372,431,79,411,22,570,805,231,588
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__,92,38,188,475,819,0,331,388,316,518,0,0,111,337,217,80,146,0,46,124,420,0,248,0,318,50,0,227,181,120,364,371,0,0,616,162,519,0,648,15,0,343,244,0,531,520,0,672,187,0,116,0,264,532,876,307,281,326,320,355,498,194,383,877,151,0,145,166,17,322,0,143,675,0,491,0,33,155,747,23,577,104,591,112,366,161,55,279,34,409,365,400,96,281,507,665,559,29,879,0,0,388,1959,382,155,455,19,624,357,391,520,254,0,17,394,503,0,0,246,57,205,23,495,187,127,144,163,143,329,304,295,279
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__dolichum,0,0,0,0,0,7,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,185,0,0,0,0,0,0,0,12,14,0,0,0,0,0,4,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,0,0,10,0,0,10,0,0,0,0,33,127,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,139,60,0,0,0,14,0,19,0,3,0,0,0,0,0,0,0,0,0,0,49,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__,0,17,10,220,0,8,15,133,0,27,0,0,11,23,0,0,9,0,0,19,0,3,16,0,33,0,0,58,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,27,0,0,0,8,0,0,0,0,3,15,0,0,89,0,36,0,19,0,0,4,0,35,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,76,29,21,0,27,6,0,4,0,0,8,0,0,0,31,0,16,21,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,3,0,14
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__ramosum,0,5,0,0,0,0,0,0,0,0,0,0,0,0,132,0,8,0,0,50,0,94,0,0,13,0,0,0,0,0,114,0,0,0,0,0,7,0,0,0,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,143,9,0,0,124,78,83,164,0,0,0,0,0,0,0,114,0,0,60,0,5,0,0,55,0,263,0,0,0,0,0,0,0,0,0,0,0,0,36,133,54,0,0,338,39,134,139,83,0,0,0,0,0,173,112,0,7,43,0,63,0,0,0,0,121,89,0,0,0,0,0,2,0,120,0,142
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii,0,73,542,321,814,639,439,162,292,558,68,0,278,373,221,218,137,0,0,81,980,106,796,249,1120,433,615,687,498,197,402,445,719,941,501,185,763,1176,0,0,257,86,642,645,122,629,46,744,0,0,0,240,514,381,0,1706,0,374,830,1258,0,0,0,0,240,160,125,382,972,515,242,88,0,0,207,49,0,214,112,0,112,67,369,1948,489,298,621,584,890,457,261,464,615,0,171,239,0,93,0,55,1276,0,0,2043,0,279,263,1512,783,0,491,1369,346,528,66,338,127,90,1075,161,251,165,514,1109,1797,307,2179,377,277,1335,127,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__,80,709,173,376,175,272,248,99,92,258,352,118,32,240,340,169,328,98,3,178,133,208,426,0,306,416,88,257,149,64,213,242,108,24,42,40,344,327,0,1362,126,116,203,273,931,292,39,1010,311,1,93,0,169,84,470,183,2,190,340,61,156,164,0,0,315,652,92,212,194,148,40,30,68,0,15,0,1,47,0,8,0,103,241,729,63,159,260,221,38,201,0,142,17,102,197,40,246,157,28,124,260,77,67,198,9,0,139,110,165,60,27,0,0,266,297,116,261,31,87,154,142,79,34,139,125,0,125,0,0,50,63,33
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;__,0,0,93,34,0,14,0,0,0,0,81,0,69,0,0,0,12,0,77,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,143,64,0,108,0,228,9,0,0,0,0,0,140,0,17,14,0,11,0,0,0,115,185,0,0,222,11,0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,14,0,16,26,15,0,15,0,0,0,0
